WISE3_ID,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,CLIM_PRECIPITATION_DATA,CLIM_GDD,CLIM_ARIDITY_INDEX,CLIM_KOPGEIGER,CKIM_FAO_LGP,CLIM_MODIS_evapotrans,clim_precip_novdecjan,clim_precip_febmarapr,clim_precip_mayjunjul,clim_precip_augsepoct,topog_elevation,topog_geolage,topog_slope_global,topog_landform_global,topog_twi_global,topog_topi_global,topog_israd_global,landcover_modis_2012,vegind_modis_evi_m,vegind_modis_evi_sd,WISE3_FAO_74
BR0299,-22.5,-46.83,1394.0,5480.0,0.9291,11,12,11025.0,212.0,151.0,36.0,65.0,672.0,67,3,5,1150.0,1.557,1596.875,14,4167.0,732.0,U
BR0300,-22.7333333333,-43.7333333333,1361.0,6444.0,0.9085,3,13,6614.0,173.0,154.0,51.0,74.0,65.0,67,3,7,1200.0,1.552,1551.25,14,3207.0,583.0,Ao
BR0301,-16.37,-40.4797222222,831.0,6880.0,0.4997,3,11,8856.0,126.0,77.0,32.0,42.0,245.0,67,21,7,890.0,1.514,1460.0,9,4330.0,1148.0,Bf
BR0302,-21.92,-42.25,1275.0,6664.0,0.8207,2,11,11639.0,207.0,128.0,34.0,69.0,154.0,67,15,6,1090.0,1.542,1596.875,9,3914.0,1137.0,Ne
BR0303,-16.85,-41.95,844.0,6859.0,0.4702,3,9,6560.0,165.0,73.0,10.0,36.0,471.0,67,23,5,910.0,1.535,1505.625,9,3552.0,1733.0,Ao
BR0304,-0.629722222222,-48.4797222222,-32768.0,7924.0,-214748.3647,2,12,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-32768.0,0,2,0,10.0,1.569,1505.625,3,1591.0,367.0,Jt
BR0305,-16.59,-40.9097222222,987.0,6496.0,0.6348,3,10,10872.0,147.0,85.0,43.0,54.0,844.0,67,2,5,950.0,1.566,1596.875,8,4523.0,1009.0,Fx
BR0306,-0.25,-49.9797222222,3096.0,7938.0,2.0103,3,12,13286.0,206.0,491.0,258.0,76.0,5.0,72,1,1,1340.0,1.568,1505.625,14,3859.0,467.0,Gd
BR0307,-22.9166666667,-47.05,1308.0,5870.0,0.9077,11,12,0.0,189.0,136.0,41.0,71.0,723.0,6,4,5,1120.0,1.565,1596.875,13,1545.0,266.0,Qf
BR0308,-22.7333333333,-45.5833333333,1797.0,4525.0,1.5228,10,14,0.0,265.0,197.0,50.0,94.0,1615.0,67,9,3,1050.0,1.55,1688.125,13,2630.0,494.0,Bh
BR0309,-20.5,-45.5,1421.0,5647.0,0.8752,11,11,6719.0,253.0,128.0,24.0,69.0,782.0,67,3,5,1170.0,1.557,1596.875,9,3836.0,988.0,Fo
BR0310,-25.05,-47.9333333333,2466.0,5805.0,1.8052,13,16,0.0,237.0,324.0,124.0,137.0,0.0,72,5,0,10.0,1.559,11634.375,0,-72.0,352.0,Ph
BR0311,-22.8297222222,-48.25,1246.0,6014.0,0.8043,10,12,7902.0,171.0,133.0,41.0,71.0,478.0,82,6,5,1120.0,1.555,1596.875,9,4482.0,800.0,Fo
BR0312,-20.75,-49.0,1314.0,6691.0,0.784,10,10,6168.0,207.0,145.0,27.0,59.0,529.0,11,5,5,1130.0,1.567,1596.875,14,3756.0,781.0,Fr
BR0313,-0.74,-48.5,2778.0,7924.0,1.8276,127,12,13418.0,160.0,499.0,218.0,49.0,4.0,0,2,1,10.0,1.569,11634.375,11,3314.0,305.0,Ge
BR0314,-9.10972222222,-40.65,488.0,7776.0,0.2561,6,5,5123.0,58.0,91.0,9.0,6.0,431.0,67,2,7,1290.0,1.564,1551.25,8,2447.0,1118.0,Lf
BR0315,-22.0,-50.0,1183.0,6161.0,0.7292,10,11,5419.0,162.0,121.0,48.0,68.0,430.0,11,6,5,1100.0,1.561,1596.875,9,3135.0,501.0,Lo
BR0316,-1.14972222222,-49.2,2543.0,7960.0,1.5553,3,12,13845.0,166.0,413.0,203.0,64.0,3.0,72,0,1,1370.0,1.57,1505.625,9,3881.0,662.0,Gp
BR0317,-8.1,-37.6697222222,713.0,7203.0,0.468,3,8,8907.0,44.0,133.0,49.0,12.0,645.0,53,4,5,1200.0,1.564,1596.875,9,3254.0,1354.0,Qc
BR0318,-8.06972222222,-40.4197222222,610.0,7714.0,0.3392,6,6,7180.0,67.0,117.0,12.0,8.0,487.0,67,3,5,1300.0,1.554,1551.25,9,3202.0,1316.0,Bf
BR0319,-2.66666666667,-54.0833333333,1929.0,7810.0,1.19,2,11,13541.0,118.0,314.0,169.0,43.0,21.0,80,1,7,1160.0,1.553,1505.625,2,4635.0,746.0,Fa
BR0320,-9.8,-35.8697222222,1630.0,7317.0,1.1785,127,11,10520.0,42.0,148.0,257.0,96.0,9.0,80,3,7,1230.0,1.564,1551.25,12,3968.0,324.0,Fx
BR0321,-20.65,-45.8166666667,1482.0,5800.0,0.915,11,11,4969.0,259.0,136.0,28.0,73.0,766.0,67,5,2,1090.0,1.547,1596.875,10,2154.0,405.0,Gh
BR0322,-10.38,-36.4197222222,1292.0,7604.0,0.8522,3,9,10531.0,41.0,131.0,190.0,68.0,7.0,72,0,7,1290.0,1.569,1505.625,14,3886.0,289.0,Po
BR0323,-8.89972222222,-35.1597222222,1628.0,7439.0,1.3031,2,11,14181.0,55.0,155.0,244.0,89.0,8.0,67,2,7,1220.0,1.567,1551.25,14,4632.0,447.0,Qc
BR0324,-2.93277777778,-40.2597222222,1186.0,8135.0,0.639,3,8,9024.0,40.0,270.0,84.0,2.0,32.0,80,1,7,1300.0,1.57,1505.625,9,3956.0,803.0,Qf
BR0325,-13.42,-40.5997222222,621.0,6798.0,0.4184,3,8,7684.0,93.0,72.0,17.0,25.0,515.0,67,12,5,1050.0,1.536,1642.5,9,2953.0,1129.0,Fx
BR0326,-15.14,-39.31,1291.0,7067.0,1.0221,1,16,14588.0,125.0,113.0,108.0,85.0,561.0,67,49,6,700.0,1.535,1414.375,2,5730.0,821.0,Lf
BR0327,-15.0,-39.8197222222,984.0,6886.0,0.7093,3,15,12167.0,121.0,89.0,61.0,57.0,283.0,67,6,6,1180.0,1.559,1551.25,9,4410.0,925.0,Hl
BR0328,-7.76,-35.47,1279.0,7417.0,0.8109,3,10,12572.0,47.0,125.0,184.0,71.0,224.0,67,11,7,1190.0,1.556,1551.25,9,5052.0,640.0,Hl
BR0329,-13.02,-39.04,1571.0,7100.0,1.1777,1,13,15242.0,100.0,133.0,186.0,105.0,73.0,67,2,7,1120.0,1.564,1551.25,14,4903.0,442.0,Af
BR0330,-13.1497222222,-40.2,796.0,6308.0,0.6235,3,11,8908.0,91.0,82.0,51.0,40.0,918.0,67,6,5,1050.0,1.573,1596.875,9,3665.0,884.0,Fo
BR0331,-7.55,-34.95,2030.0,7458.0,1.2286,3,11,17016.0,65.0,209.0,304.0,102.0,4.0,72,8,7,1180.0,1.56,1551.25,14,5017.0,520.0,Gd
BR0332,-27.92,-52.83,1810.0,5535.0,1.336,13,15,12432.0,155.0,133.0,147.0,169.0,632.0,37,4,2,1150.0,1.568,1596.875,8,4454.0,749.0,Hl
BR0333,-5.44,-47.5,1458.0,7631.0,0.7838,3,10,13612.0,177.0,241.0,30.0,38.0,141.0,72,2,7,1250.0,1.568,1551.25,9,4598.0,908.0,Af
BR0334,-2.09972222222,-47.5,2236.0,7819.0,1.306,1,12,13482.0,156.0,352.0,159.0,78.0,70.0,11,1,7,1170.0,1.57,1551.25,9,4452.0,1013.0,Ap
BR0335,-3.85972222222,-38.4197222222,1402.0,8253.0,0.9695,3,9,11847.0,49.0,271.0,131.0,17.0,21.0,80,2,7,1330.0,1.566,1505.625,9,4147.0,545.0,Ap
BR0336,-5.63,-48.0997222222,1677.0,7955.0,0.9331,3,10,12887.0,194.0,274.0,42.0,48.0,142.0,82,0,7,1180.0,1.568,1551.25,9,4078.0,785.0,Qf
BR0337,-1.97,-49.15,2543.0,7956.0,1.464,1,13,14164.0,178.0,403.0,193.0,73.0,16.0,72,1,1,1310.0,1.569,1505.625,2,5062.0,487.0,Jd
BR0338,-13.47,-40.47,791.0,6308.0,0.6076,3,10,9082.0,102.0,82.0,43.0,37.0,886.0,67,11,5,1070.0,1.559,1642.5,9,3355.0,886.0,Fo
BR0339,-5.44972222222,-47.59,1499.0,7795.0,0.8076,3,10,0.0,179.0,250.0,33.0,38.0,115.0,72,0,7,1280.0,1.566,1551.25,9,4549.0,663.0,Fo
BR0340,-3.68,-47.95,1802.0,7779.0,1.0198,1,12,14858.0,159.0,343.0,60.0,35.0,145.0,11,3,7,1160.0,1.563,1551.25,2,5103.0,654.0,Fx
BR0341,-8.86972222222,-35.2,1774.0,7439.0,1.4078,2,11,9272.0,59.0,162.0,264.0,98.0,107.0,67,3,7,1180.0,1.568,1505.625,14,5169.0,698.0,Fx
BR0342,-1.97,-47.4797222222,2247.0,7813.0,1.3148,1,12,15154.0,150.0,352.0,167.0,80.0,52.0,11,1,7,1170.0,1.569,1505.625,9,5370.0,348.0,Po
BR0343,-6.9,-35.13,1272.0,7539.0,0.8013,3,10,8234.0,41.0,138.0,188.0,57.0,92.0,80,0,7,1220.0,1.568,1551.25,14,3451.0,1586.0,Af
BR0344,-12.2397222222,-38.38,1532.0,7307.0,1.0651,3,12,11855.0,86.0,130.0,203.0,92.0,99.0,11,1,7,1200.0,1.558,1551.25,14,4817.0,527.0,Af
BR0345,-10.34,-36.9,914.0,7570.0,0.5816,6,9,8940.0,29.0,86.0,138.0,52.0,70.0,80,5,7,1220.0,1.562,1505.625,10,4211.0,939.0,Ao
BR0346,-20.815,-41.1266666667,1061.0,6677.0,0.6689,2,11,10236.0,161.0,90.0,39.0,63.0,34.0,67,4,7,1120.0,1.545,1505.625,9,3202.0,912.0,Ao
BR0347,-11.0397222222,-37.36,1415.0,7557.0,1.0007,3,11,10996.0,53.0,126.0,215.0,77.0,82.0,80,1,7,1190.0,1.566,1551.25,9,4293.0,803.0,Ap
BR0348,-17.8297222222,-51.5,1541.0,6766.0,0.9373,3,10,6473.0,238.0,174.0,27.0,77.0,842.0,11,4,5,1120.0,1.565,1596.875,12,3995.0,1904.0,Qf
BR0349,-9.47972222222,-44.65,1104.0,7619.0,0.5752,3,9,9995.0,166.0,162.0,12.0,30.0,378.0,20,5,6,1180.0,1.564,1551.25,9,4282.0,1031.0,Qf
BR0350,-17.8297222222,-54.6697222222,1460.0,7535.0,0.8189,3,10,6182.0,225.0,159.0,36.0,67.0,265.0,20,6,6,1200.0,1.548,1551.25,9,3473.0,940.0,Fo
BR0351,-20.12,-40.63,1280.0,6022.0,0.8944,2,12,14182.0,191.0,103.0,52.0,81.0,701.0,67,12,5,1010.0,1.545,1596.875,2,4330.0,706.0,Fo
BR0352,-15.6,-47.7166666667,1439.0,6176.0,0.9319,3,10,5522.0,231.0,169.0,14.0,65.0,1030.0,67,12,5,1030.0,1.549,1596.875,9,3227.0,783.0,Fo
BR0353,-22.4666666667,-47.4833333333,1300.0,5986.0,0.8678,11,12,5714.0,197.0,137.0,34.0,68.0,637.0,59,3,5,1090.0,1.559,1596.875,13,2786.0,894.0,Fo
BR0354,-20.15,-47.7833333333,1499.0,6303.0,0.931,11,11,5758.0,247.0,169.0,25.0,62.0,589.0,37,19,5,1070.0,1.551,1642.5,14,3474.0,1489.0,Fr
BR0355,-15.6,-47.7,1435.0,6176.0,0.9221,3,10,6588.0,232.0,168.0,13.0,63.0,965.0,67,1,5,1110.0,1.553,1642.5,13,3171.0,656.0,Fr
BR0356,-18.5,-54.83,1496.0,7383.0,0.856,3,10,8410.0,222.0,160.0,45.0,73.0,407.0,20,10,6,1120.0,1.56,1551.25,9,3979.0,734.0,Fr
BR0357,-28.5166666667,-51.0333333333,1785.0,4680.0,1.4575,13,16,11354.0,143.0,141.0,142.0,169.0,880.0,37,4,5,1160.0,1.565,1596.875,8,3983.0,725.0,Fh
BR0358,-9.5,-44.5997222222,1129.0,7646.0,0.5814,3,9,7356.0,168.0,167.0,12.0,29.0,287.0,20,4,6,1210.0,1.559,1551.25,9,3966.0,1044.0,Fx
BR0359,-5.75,-35.2997222222,1329.0,7658.0,0.8276,3,9,8813.0,33.0,167.0,193.0,50.0,48.0,80,2,7,1260.0,1.566,1551.25,13,3558.0,729.0,Fx
BR0360,-10.42,-36.47,1280.0,7604.0,0.8421,3,9,11509.0,42.0,129.0,187.0,68.0,3.0,72,1,7,1290.0,1.569,1505.625,14,3795.0,271.0,Ge
BR0361,-22.3166666667,-50.0,1199.0,6161.0,0.7398,10,12,5759.0,163.0,116.0,52.0,70.0,411.0,11,2,5,1100.0,1.552,1551.25,9,3797.0,656.0,Lf
BR0362,-15.4797222222,-39.2297222222,1331.0,7067.0,0.9904,1,16,14800.0,135.0,122.0,97.0,90.0,131.0,67,5,7,1130.0,1.566,1551.25,14,4970.0,503.0,Lo
BR0363,-23.05,-49.75,1341.0,5842.0,0.8418,13,13,8763.0,165.0,135.0,57.0,84.0,512.0,37,6,5,1140.0,1.555,1596.875,14,3528.0,868.0,Ne
BR0364,-28.3,-52.4166666667,1715.0,5133.0,1.2995,13,15,12373.0,153.0,122.0,135.0,169.0,597.0,37,2,2,1080.0,1.566,1596.875,12,4248.0,931.0,Nd
BR0365,-20.25,-41.0997222222,1366.0,5899.0,0.9737,2,11,14321.0,211.0,117.0,47.0,81.0,1091.0,67,12,5,850.0,1.562,1642.5,2,4957.0,894.0,Ne
BR0366,-20.17,-54.83,1431.0,6914.0,0.8462,3,11,6878.0,197.0,143.0,59.0,78.0,269.0,6,1,7,1200.0,1.559,1551.25,14,3713.0,699.0,Wd
BR0367,-11.3297222222,-37.7,1183.0,7338.0,0.7454,3,11,11040.0,49.0,106.0,164.0,78.0,160.0,67,3,7,1230.0,1.569,1551.25,9,4918.0,705.0,Gp
BR0368,-7.26972222222,-34.8497222222,1919.0,7566.0,1.2558,2,11,10342.0,62.0,185.0,282.0,110.0,73.0,80,5,7,1210.0,1.568,1551.25,14,3712.0,461.0,Po
BR0369,-9.5,-40.4,445.0,7469.0,0.2393,6,6,3362.0,62.0,78.0,4.0,5.0,384.0,67,1,7,1320.0,1.565,1551.25,7,1857.0,470.0,Vc
BR0370,-23.5,-55.0,1596.0,6325.0,1.0063,13,14,5670.0,174.0,136.0,95.0,126.0,312.0,14,6,7,1150.0,1.554,1596.875,9,3010.0,606.0,Qf
BR0371,-7.8,-38.63,870.0,7469.0,0.5422,6,8,10019.0,66.0,170.0,43.0,11.0,708.0,11,7,5,1040.0,1.552,1642.5,8,3749.0,1583.0,Be
BR0372,-5.23,-37.75,830.0,8287.0,0.4705,3,7,9325.0,23.0,173.0,77.0,4.0,127.0,11,1,7,1390.0,1.569,1551.25,9,3356.0,1633.0,Be
BR0373,-23.5,-54.75,1586.0,6325.0,0.9993,13,14,8402.0,173.0,131.0,97.0,128.0,316.0,14,3,7,1140.0,1.56,1551.25,9,4126.0,718.0,Fr
BR0374,-0.72,-47.5,2832.0,7821.0,1.7492,2,12,0.0,160.0,525.0,222.0,36.0,15.0,80,3,7,1290.0,1.567,1505.625,11,1994.0,462.0,Gd
BR0375,-5.5,-37.58,743.0,8322.0,0.4161,3,7,7306.0,25.0,157.0,61.0,5.0,33.0,72,3,7,1330.0,1.564,1551.25,9,3061.0,1114.0,Kk
BR0376,-7.9,-39.0997222222,629.0,7365.0,0.3769,6,7,6172.0,57.0,132.0,16.0,5.0,499.0,67,5,5,1120.0,1.56,1596.875,9,2733.0,1092.0,E
BR0377,-5.59972222222,-35.65,858.0,7657.0,0.5399,3,9,8169.0,20.0,127.0,117.0,27.0,93.0,67,2,7,1270.0,1.566,1551.25,9,3632.0,1276.0,Lv
BR0378,-8.52,-38.15,506.0,7574.0,0.3125,6,7,4450.0,47.0,97.0,19.0,6.0,383.0,67,3,7,1270.0,1.564,1551.25,7,2316.0,868.0,Lv
BR0379,-6.4,-36.7797222222,586.0,7737.0,0.3363,3,6,5032.0,25.0,136.0,32.0,3.0,229.0,67,2,7,1270.0,1.565,1551.25,9,2149.0,635.0,Lc
BR0380,-8.0,-38.58,749.0,7481.0,0.4517,6,8,8010.0,64.0,145.0,33.0,9.0,457.0,67,7,5,1170.0,1.559,1596.875,9,3074.0,1471.0,Lc
BR0381,-7.63,-37.8497222222,837.0,7137.0,0.5509,3,8,6169.0,47.0,164.0,57.0,11.0,745.0,67,5,5,1120.0,1.566,1596.875,9,2982.0,1279.0,Lo
BR0382,-7.30972222222,-38.4197222222,871.0,7573.0,0.5512,6,8,8522.0,55.0,186.0,40.0,9.0,759.0,67,3,5,1070.0,1.575,1596.875,9,3664.0,1410.0,Lo
BR0383,-8.67,-40.1397222222,533.0,7731.0,0.2892,6,5,6304.0,59.0,96.0,16.0,7.0,417.0,67,4,7,1210.0,1.564,1551.25,9,2733.0,1019.0,Lo
BR0384,-7.38,-36.0,430.0,7264.0,0.2823,3,9,8571.0,12.0,61.0,59.0,14.0,407.0,67,6,6,1230.0,1.562,1596.875,9,3697.0,1054.0,Vp
BR0385,-18.3797222222,-40.75,1070.0,6819.0,0.6613,3,11,10183.0,168.0,89.0,35.0,68.0,174.0,67,4,7,1130.0,1.559,1551.25,9,4183.0,1008.0,Af
BR0386,-18.62,-39.8697222222,1250.0,7145.0,0.8373,2,13,14688.0,162.0,104.0,63.0,87.0,36.0,80,1,7,1250.0,1.569,1505.625,9,5025.0,672.0,Af
BR0387,-5.48,-38.1397222222,750.0,8260.0,0.4225,3,7,7222.0,27.0,160.0,60.0,2.0,126.0,11,3,7,1290.0,1.565,1505.625,9,3332.0,1195.0,Ao
BR0388,-23.19,-53.77,1399.0,6424.0,0.8453,13,14,6957.0,149.0,110.0,89.0,118.0,236.0,72,0,7,1290.0,1.568,1551.25,8,3295.0,589.0,Qc
BR0389,-3.71,-41.02,1244.0,7510.0,0.7435,3,8,11877.0,66.0,265.0,78.0,5.0,752.0,20,3,5,1170.0,1.564,1596.875,9,4505.0,908.0,Qf
BR0390,-7.19972222222,-36.4,423.0,7136.0,0.2792,3,6,6950.0,12.0,85.0,36.0,6.0,506.0,67,2,2,1250.0,1.566,1596.875,9,2987.0,1163.0,Be
BR0391,-5.15972222222,-38.1197222222,760.0,8260.0,0.4252,3,7,7433.0,29.0,168.0,55.0,2.0,34.0,72,0,7,1400.0,1.566,1505.625,9,3521.0,1105.0,Je
BR0392,-5.05972222222,-37.27,749.0,8191.0,0.4222,6,7,0.0,23.0,162.0,60.0,4.0,5.0,11,2,7,1370.0,1.566,1551.25,10,947.0,596.0,Zo
BR0393,-6.59972222222,-36.9797222222,665.0,7627.0,0.3958,3,6,4984.0,28.0,158.0,32.0,3.0,231.0,67,2,7,1260.0,1.569,1551.25,9,2412.0,1154.0,Fo
BR0394,-21.5269444444,-56.6147222222,1363.0,7132.0,0.829,3,12,5738.0,168.0,123.0,76.0,88.0,416.0,48,5,6,1280.0,1.565,1551.25,9,3479.0,668.0,Fr
BR0395,-4.15972222222,-40.75,1455.0,7460.0,0.915,3,8,8096.0,71.0,292.0,99.0,13.0,929.0,20,4,5,1120.0,1.558,1642.5,13,3507.0,631.0,Fx
BR0396,-22.5,-53.0,1247.0,6038.0,0.7413,13,13,0.0,145.0,110.0,66.0,94.0,246.0,14,0,7,1250.0,1.564,1551.25,11,832.0,250.0,Gd
BR0397,-23.18,-53.72,1388.0,6424.0,0.8371,13,14,4649.0,148.0,110.0,89.0,116.0,233.0,72,0,7,1280.0,1.569,1551.25,4,3695.0,259.0,Gh
BR0398,-28.37,-54.1197222222,1799.0,5700.0,1.2088,13,14,7852.0,145.0,144.0,151.0,159.0,273.0,37,7,7,1160.0,1.561,1505.625,12,3806.0,960.0,E
BR0399,-7.69972222222,-35.75,778.0,7254.0,0.493,3,9,9065.0,27.0,89.0,111.0,34.0,382.0,67,17,6,1040.0,1.544,1505.625,14,3579.0,1275.0,E
BR0400,-6.42,-36.63,510.0,7737.0,0.2962,3,6,6755.0,21.0,117.0,29.0,3.0,309.0,53,15,6,1080.0,1.542,1642.5,9,2899.0,1287.0,E
BR0401,-6.55,-36.5497222222,452.0,7627.0,0.2648,3,6,5117.0,17.0,108.0,23.0,2.0,337.0,67,8,6,1070.0,1.543,1596.875,9,2558.0,1127.0,Lv
BR0402,-6.11972222222,-37.5997222222,842.0,7941.0,0.4836,3,7,7198.0,33.0,187.0,55.0,6.0,217.0,67,1,7,1240.0,1.548,1551.25,9,3011.0,1217.0,Lo
BR0403,-7.69972222222,-35.65,869.0,7254.0,0.5771,3,10,7938.0,31.0,92.0,130.0,43.0,539.0,67,5,6,1080.0,1.566,1551.25,9,4048.0,802.0,Lo
BR0404,-30.0,-56.0,1520.0,5308.0,1.0564,13,13,5828.0,120.0,142.0,121.0,124.0,182.0,37,4,7,1240.0,1.565,1505.625,10,4050.0,491.0,We
BR0405,-5.65,-35.58,961.0,7657.0,0.5968,3,9,10663.0,22.0,137.0,131.0,30.0,46.0,67,2,7,1230.0,1.558,1505.625,9,3922.0,1450.0,We
BR0406,-6.23,-36.0297222222,526.0,7362.0,0.3201,6,7,6759.0,15.0,97.0,53.0,10.0,228.0,67,1,6,1270.0,1.562,1551.25,13,2099.0,367.0,Re
BR0407,-4.55,-37.75,1032.0,8234.0,0.6183,3,8,6068.0,38.0,220.0,81.0,6.0,6.0,80,0,7,1410.0,1.567,1505.625,9,1823.0,375.0,Sg
BR0408,-7.26972222222,-36.25,399.0,7136.0,0.2654,3,7,6920.0,11.0,68.0,46.0,9.0,492.0,67,4,2,1230.0,1.566,1551.25,9,2816.0,1008.0,So
BR0409,-30.68,-55.83,1473.0,5093.0,1.0337,13,13,5653.0,114.0,135.0,115.0,127.0,283.0,37,6,7,1140.0,1.563,1551.25,10,3796.0,434.0,Vp
BR0410,-18.5,-55.5,1377.0,7620.0,0.7731,3,10,5272.0,204.0,147.0,43.0,65.0,160.0,72,0,7,1400.0,1.57,1551.25,9,3096.0,300.0,Qc
BR0411,-9.11972222222,-37.5997222222,580.0,7509.0,0.3691,6,7,5685.0,34.0,66.0,74.0,19.0,339.0,67,4,7,1300.0,1.557,1551.25,7,2967.0,934.0,Be
BR0412,-3.04972222222,-40.2597222222,1128.0,7967.0,0.6024,3,8,10885.0,38.0,259.0,78.0,2.0,49.0,80,2,7,1280.0,1.568,1505.625,9,4198.0,871.0,Bf
BR0413,-20.4055555556,-40.7536111111,1280.0,6022.0,0.8952,2,12,13721.0,189.0,105.0,53.0,80.0,759.0,67,11,5,1090.0,1.549,1551.25,14,4678.0,528.0,Bf
BR0414,-20.0,-57.6697222222,1108.0,7633.0,0.6342,3,9,4156.0,151.0,111.0,49.0,57.0,81.0,72,0,1,1440.0,1.57,1551.25,8,2639.0,1016.0,Je
BR0415,-7.38972222222,-39.34,1010.0,7480.0,0.6503,6,7,15588.0,84.0,196.0,42.0,14.0,939.0,11,5,5,1130.0,1.569,1551.25,2,4282.0,455.0,Fx
BR0416,-29.75,-57.0,1152.0,5566.0,0.7805,13,13,7780.0,93.0,128.0,76.0,87.0,58.0,72,2,7,1380.0,1.566,1505.625,10,3695.0,534.0,E
BR0417,-10.4497222222,-37.4,800.0,7475.0,0.5524,6,9,8189.0,30.0,66.0,122.0,52.0,208.0,67,3,7,1270.0,1.561,1551.25,9,3661.0,1001.0,Re
BR0418,-9.69972222222,-37.4,579.0,7661.0,0.3698,6,7,10078.0,26.0,55.0,86.0,26.0,174.0,53,2,7,1230.0,1.56,1551.25,9,3566.0,1339.0,E
BR0419,-9.89972222222,-37.2,541.0,7661.0,0.3403,6,7,5412.0,22.0,51.0,81.0,27.0,17.0,67,11,7,1110.0,1.539,1551.25,11,1759.0,753.0,Lc
BR0420,-10.1997222222,-37.68,625.0,7358.0,0.422,6,8,6605.0,33.0,57.0,86.0,32.0,279.0,67,3,7,1270.0,1.564,1551.25,9,3007.0,1355.0,Lf
BR0421,-3.57972222222,-40.33,888.0,7966.0,0.4629,3,8,9957.0,35.0,200.0,60.0,2.0,95.0,53,3,7,1220.0,1.546,1505.625,9,4124.0,1733.0,Lo
BR0422,-6.17972222222,-39.3897222222,875.0,7937.0,0.5034,3,7,8249.0,44.0,180.0,57.0,11.0,328.0,67,3,7,1160.0,1.568,1551.25,9,3794.0,1573.0,Lo
BR0423,-21.0,-56.0,1393.0,6887.0,0.8198,3,12,7437.0,178.0,135.0,68.0,82.0,204.0,6,3,7,1230.0,1.566,1551.25,9,4149.0,620.0,Nd
BR0424,-20.5,-56.6697222222,1321.0,7323.0,0.7764,3,11,7836.0,177.0,134.0,60.0,69.0,202.0,48,13,7,1160.0,1.538,1505.625,9,4189.0,744.0,Hl
BR0425,-20.75,-57.25,1240.0,7505.0,0.7233,3,10,6976.0,163.0,122.0,59.0,70.0,144.0,67,2,7,1350.0,1.565,1551.25,8,4109.0,955.0,Wd
BR0426,-3.74,-39.95,654.0,7874.0,0.3704,3,8,8732.0,21.0,156.0,39.0,1.0,147.0,67,4,6,1250.0,1.555,1551.25,9,2860.0,1413.0,We
BR0427,-21.75,-57.0,1359.0,7132.0,0.8297,3,11,6207.0,166.0,121.0,77.0,90.0,385.0,48,8,6,1060.0,1.562,1551.25,10,3972.0,701.0,We
BR0428,-3.75,-38.95,992.0,7876.0,0.6526,3,10,10226.0,38.0,203.0,88.0,5.0,35.0,67,3,7,1280.0,1.566,1551.25,9,3637.0,1472.0,We
BR0429,-5.67,-40.27,572.0,7712.0,0.3456,6,8,6820.0,32.0,128.0,28.0,3.0,397.0,67,7,5,1170.0,1.555,1551.25,9,2646.0,1457.0,We
BR0430,-3.59972222222,-39.0997222222,1018.0,7884.0,0.6542,3,9,12105.0,34.0,218.0,84.0,3.0,52.0,67,1,7,1290.0,1.568,1505.625,9,3905.0,1283.0,Gp
BR0431,-19.3297222222,-56.0,1343.0,7609.0,0.7722,3,10,3721.0,192.0,142.0,49.0,64.0,118.0,72,0,4,1410.0,1.57,1551.25,9,2571.0,352.0,Gp
BR0432,-7.23,-38.8197222222,935.0,7477.0,0.5688,6,8,10411.0,71.0,193.0,36.0,11.0,625.0,11,10,5,1090.0,1.567,1551.25,9,4306.0,1477.0,Rd
BR0433,-3.29972222222,-39.4,1128.0,8007.0,0.6758,3,9,14094.0,39.0,234.0,98.0,7.0,30.0,80,1,7,1310.0,1.568,1505.625,9,4770.0,819.0,Re
BR0434,-6.03972222222,-40.33,599.0,7695.0,0.3544,6,8,7171.0,36.0,121.0,30.0,13.0,440.0,67,1,5,1250.0,1.567,1551.25,9,2939.0,1317.0,Re
BR0435,-9.19972222222,-38.04,544.0,7626.0,0.3283,6,7,5757.0,37.0,65.0,60.0,19.0,330.0,53,3,7,1210.0,1.549,1551.25,10,2985.0,759.0,Re
BR0436,-10.8997222222,-38.0997222222,741.0,7183.0,0.4657,6,11,8314.0,42.0,71.0,95.0,39.0,257.0,76,5,7,1270.0,1.563,1551.25,9,3203.0,950.0,Sg
BR0437,-21.8297222222,-57.6697222222,1319.0,7453.0,0.7804,3,11,5025.0,162.0,122.0,69.0,86.0,95.0,72,1,1,1380.0,1.567,1551.25,10,4015.0,916.0,Sg
BR0438,-3.80972222222,-38.9,1024.0,7876.0,0.6826,3,10,10908.0,40.0,209.0,92.0,6.0,67.0,67,1,7,1260.0,1.555,1551.25,9,3909.0,1570.0,So
BR0439,-20.78,-41.5,1188.0,6677.0,0.7432,2,11,12612.0,190.0,106.0,34.0,64.0,435.0,67,30,6,1020.0,1.533,1414.375,9,4036.0,939.0,Af
BR0440,-12.6,-49.5997222222,1594.0,7470.0,0.8747,3,10,5743.0,254.0,200.0,12.0,65.0,253.0,67,3,7,1230.0,1.566,1551.25,9,3252.0,1120.0,Af
BR0441,-23.8297222222,-50.0,1277.0,5581.0,0.849,13,14,6528.0,143.0,119.0,69.0,95.0,622.0,6,7,5,1080.0,1.558,1596.875,10,3999.0,663.0,Af
